to fasten, to buckle	allacciare
to go pick up	andare a prendere
to drive (to)	andare in macchina (a)
to ask for a ride	chiedere un passaggio
to give a ride	dare un passaggio
to get gas	fare benzina
to give a traffic ticket	fare la multa
to do a favor	fare un piacere
to fill up (the gas tank)	fare il pieno
to pollute	inquinare
to park	parcheggiare
to get a ticket, fine	prendere la multa
to protect	proteggere
I protected	ho protetto
to recycle	riciclare
to run out of gas	rimanere senza benzina
I remained	sono rimasta
to solve	risolvere
I solved	ho risolto
to respect, to obey	rispettare
to exceed	superare
to come pick up	venire a prendere
to forbid, to prohibit	vietare
to drive	guidare
to control	controllare
aluminum	l'alluminio
environment	l'ambiente
motorist, driver	l'automobilista
motorists, drivers	gli automobilisti
highway	l'autostrada
gasoline	la benzina
paper	la carta
seatbelt	la cintura di sicurezza
container	il contenitore
tune-up	il controllo
gas pump	il distributore di benzina
no-parking zone	il divieto di sosta
building	l'edificio
tire	la gomma
pollution	l'inquinamento
speed limit	il limite di velocità
material	il materiale
mechanic (m)	il meccanico
mechanic (f)	la meccanica
ticket, fine	la multa
oil	l'olio
parking space	il parcheggio
driver's license	la patente
plastic	la plastica
problem	il problema
problems	i problemi
environmentalism	la protezione dell'ambiente
recycling	il riciclaggio
garbage	i rifiuti
bag	il sacchetto
road sign	il segnale stradale
license plate	la targa
license plates	le targhe
traffic	il traffico
glass	il vetro
traffic officer (m)	il vigile
traffic officer (f)	la vigile
ecological	ecologico
public (adj.)	pubblico
recyclable	riciclabile
