to applaud	applaudire
to attend (a performance)	assistere
to compose	comporre
I composed	ho composto
to continue (doing something)	continuare a
to believe that	credere di
to want, to desire	desiderare
to boo, to whistle	fischiare
to stage, to put on, to produce	mettere in scena
to plan (to do something)	pensare di
to allow	permettere di
I allowed	ho permesso
to promise (to do something)	promettere di
I promised	ho promesso
to act, to play a part, to perform	recitare
to succeed in (doing something)	riuscire a
I succeeded	sono riuscita
to hope (to do/for something)	sperare di
to sing	cantare
to direct	dirigere
I directed	ho diretto
aria	l'aria
(performing) artist	l'artista
author (m)	l'autore
author (f)	l'autrice
ballet	il balletto
baritone	il baritono
bass	il basso
drums	la batteria
singer-songwriter (m)	il cantautore
singer-songwriter (f)	la cantautrice
clarinet	il clarinetto
comedy	la commedia
composer (m)	il compositore
composer (f)	la compositrice
dance	la danza
conductor (m)	il direttore d'orchestra
conductor (f)	la direttrice d'orchestra
flute	il flauto
musical (n.)	il musical
musician (m)	il musicista
musician (f)	la musicista
opera	l'opera
stage	il palcoscenico
panorama, vista	il panorama
pope	il papa
premiere, opening night	la prima
audience	il pubblico
performance	la rappresentazione
symphony	la sinfonia
system	il sistema
soprano (m)	il soprano
soprano (f)	la soprano
spectator (m)	lo spettatore
spectator (f)	la spettatrice
tenor	il tenore
tragedy	la tragedia
trumpet	la tromba
tourist (m)	il turista
tourist (f)	la turista
violin	il violino
voice	la voce
ticket	il biglietto
singer (m)	il cantante
singer (f)	la cantante
song	la canzone
director (m)	il regista
director (f)	la regista
show	lo spettacolo
instrument	lo strumento
theater	il teatro
blues	il blues
jazz	il jazz
classical music	la musica classica
country music	la musica country
chamber music	la musica da camera
pop music	la musica leggera
opera music	la musica lirica
folk music	la musica popolare
symphonic music	la musica sinfonica
rap	il rap
rock	il rock
amateur	dilettante
musical (adj)	musicale
optimistic	ottimista
pessimistic	pessimista
populare	popolare
professional	professionista
who(m), that, which	che
who(m), which (after a prep.)	cui
it is enough	basta
it is necessary	bisogna
the one(s) who, he/she who, who	chi
that which, what	ciò che
professional, by trade	di professione
it is good	è bene
it is right	è giusto
all over the world	in tutto il mondo
the one(s) that, about which/whom	quello/a/i/e che / di cui
to help (to do something)	aiutare a
to start (to do something)	cominciare a
to stop oneself (from doing something)	fermarsi a
to learn (to do something)	imparare a
to teach (to do something)	insegnare a
to invite (to do something)	invitare a
to send (to a place)	mandare a
to stop by (a place)	passare a
to come (to a place)	venire a
to try (to do something)	cercare di
to ask (for something)	chiedere di
to decide (to do something)	decidere di
to forget (to do something)	dimenticare di
to say (to do something)	dire di
to finish (doing something)	finire di
to remember (to do something)	ricordare di
to stop, to cease (doing something)	smettere di
