to live together	convivere
to marginalize	emarginare
to be in favor (of)	essere a favore (di)
to be against	essere contro
to be politically engaged	essere impegnato
to sue	fare causa a
to judge	giudicare
to get involved	impegnarsi
to integrate (oneself)	integrarsi
to argue, to litigate	litigare
to subsidize	sovvenzionare
to allocate resources	stanziare fondi
to solve	risolvere
friendship	l'amicizia
charity	la carità
social-services center	il centro sociale
consumerism	il consumismo
living together	la convivenza
crime, criminality	la criminalità
crime, delinquency	la delinquenza
diversity	la diversità
drugs	la droga
drug addict, druggie (m)	il drogato
drug addict, druggie (f)	la drogata
marginalization	l'emarginazione
charity institution	l'ente di beneficenza
person from outside Europe (m)	l'extracomunitario
person from outside Europe (f)	l'extracomunitaria
justice	la giustizia
immigrant (m)	l'immigrato
immigrant (f)	l'immigrata
immigration	l'immigrazione
inequality	l'ineguaglianza
injustice	l'ingiustizia
teaching	l'insegnamento
integration	l'integrazione
intolerance	l'intolleranza
materialism	il materialismo
poverty	la miseria
multiculturalism	il multiculturalismo
prejudice	il pregiudizio
issue	la problematica
racism	il razzismo
racist (m)	il razzista
wealth	la ricchezza
social services	i servizi sociali
society	la società
loneliness, isolation	la solitudine
drug addict (m)	il tossicodipendente
drug addiction	la tossicodipendenza
equality	l'uguaglianza
value	il valore
violence	la violenza
different	diverso
ethnic	etnico
multicultural	multiculturale
racist	razzista
equal	uguale
as if	come se
if only	magari
