to be broken	essere rotto
to warn	avvertire
to get fat	ingrassare
a strike	lo sciopero
wall	la parete
wings	le ali
chicken (animal)	la gallina
cultivated	colto
to censure, to ban	censurare
unbreathable	irrespirabile
exhaust	lo scarico
heating systems	gli impianti di riscaldamento
litter	le cartacce
to throw away	buttare via
biodegradable	biodegradabile
to decompose	decomporsi
substance	la sostanza
methane	il metano
renewable	rinnovabile
to regenerate	rigenerarsi
to renew	rinnovarsi
wind power	l'energia eolica
inconvenience, discomfort	il disagio
harm	il danno
sustainable	sostenibile
therefore	dunque
leftovers	gli avanzi
detergent	il detersivo
pads	gli assorbenti
toys	i giocattoli
tin, can, box	la scatoletta
dust	la polvere
tissues	i fazzoletti
paper towel	il tovagliolo di carta
raser	il rasoio
to throw	gettare
citizen	il cittadino
weatherman	il meteorologo
plastic bag	il sacchetto di plastica
smoke	il fumo
smog	lo smog
factory farming	l'allevamento intensivo
agriculture	l'agricoltura
garbage	la spazzatura
trash	l'immondizia
drought	la siccità
deforestation	la deforestazione
mine	la miniera
petrol	il petrolio
eco-sustainable	ecosostenibile
power supply	l'alimentazione
to reduce	ridurre
inequality	l'ineguaglianza
flyer	il volantino
to prohibit	proibire
I prohibit	proibisco
humane	umano
inhumane	disumano
