physically	fisicamente
subjectively	soggettivamente
vocabulary	il vocabolario
milk	il latte
student desks	i banchi
together	insieme
while	mentre
cans	le lattine
to order	ordinare
to remain	restare
to know (someone)	conoscere
to pay	pagare
to send, to ship	spedire
to send	mandare
to go shopping	fare spese
to go grocery shopping	fare la spesa
to pack (a suitcase)	fare le valigie
to make a telephone call	fare una telefonata
to take a trip	fare un viaggio
to do a sport	fare uno sport
to be nice weather	fare bel tempo
to take a short trip/excursion	fare una gita
to get up	alzarsi
to ski	sciare
to rest (oneself)	riposarsi
to get dressed	vestirsi
screen	lo schermo
nerdy	secchione
serious	serio
cute	carino
to take a walk	fare una passeggiata
to hike	camminare
to stroll	passeggiare
to exercise	fare ginnastica
a canvas	un quadro
a text	un messaggio
rarely	raramente
sometimes	qualche volta
occasionally	a volte
to reherse	fare le prove
before	prima di
full	pieno
the latest (newest)	l'ultimo
to see again	revedere
life	la vita
some	qualche
flat water	l'acqua liscia
cents	centesimi
doughnut	il bombolone
berries	i frutti di bosco
toast	il toast
small pizza	la pizzetta
sandwich (triangle)	il tramezzino
how much is it (money-wise)	quant'è
how much do I pay	quanto pago
receipt/invoice	la ricevuta
receipt	lo scontrino
i would like	vorrei
what is it (the total)	quanto fa
what do you want (to eat)	cosa desidera
what will you have (to eat)	cosa prende
here it is	ecco a Lei
