to celebrate	festeggiare
populous	popoloso
dynamic	dinamico
charm	il fascino
brand	il marchio
floor (of a building)	il piano
elevator	l'ascensore
baggage	i bagagli
we play	giochiamo
sports practice	l'allenamento
rowing	canottaggio
driver's license	la patente
to ascend, to go up	salire
to descend, to go down	scendere
I went down (avere)	ho sceso
to jump for joy	fare i salti di gioia
to uncork	stappare
just	appena
already	già
not yet	non ... ancora
to hang up (on the wall)	appendere
to get on the bus	salire sull'autobus
to get off the bus	scendere dall'autobus
busy	impegnato
drawings	i disegni
to repair	riparare
to have a fist fight	fare a pugni
to fish	pescare
to quarrel	litigare
the floor	il pavimento
the ceiling	il soffitto
the grass	l'erba
to iron	stirare
an exhibition	una mostra
