lie	bugia
a busy day	una giornata piena
to hike	fare trekking
to taste	assaggiare
climate	il clima
muzzle	il muso
attic	la soffitta
a step	il passo
to purr	fare le fusa
to quit	smettere
dangerous	pericoloso
to steal	rubare
to rip	strapparsi
as well	inoltre
delicious (food)	squisito
delightful	delizioso
to fall	cadere
vase	il vaso
sheep	la pecora
to cross	attraversare
context	il contesto
no one	nessuno
annoying	fastidioso
principal	il preside
close to	vicino a
far from	lontano da
to sneeze	starnutire
alien	l'alieno
spaceship	astronave
to catch fire	prendere fuoco
to milk a cow	mungere una mucca
to have an accident (car)	fare un incidente
